INDEX,GENERAL,CHOOSE,SPIN,总押注,rtp,rtp_check,base_rtp,base_ways_rtp,free_rtp,free_ways_rtp,总赢钱,Ways赢钱,BaseWays,FreeWays,Hit,Hit率,>5x,>10x,>20x,>50x,>100x,>1000x,触发Free,Free频率,Free次数,FreeSpin,Free重触发,Free平均次数,Free平均倍,main_win_times,main_win_rate,free_win_times,free_win_rate,ok,错误,status,FREE_GENERAL,连消0次,连消1次,连消2次,连消3次,连消4次,连消5次,连消6次,连消7次,连消8次,连消9次,连消10+次,base_main_cascade_counts_rtp
0,1,1,1000000,10000000000,0.9528002,0.9528002,0.63495025,0.63495025,0.31784995,0.31784995,9528002000,9528002000,6349502500,3178499500,302834,0.302834,31757,14925,7187,2999,1101,0,4254,0.004254,115728,115728,568,27.204513399153736,74.71790079924776,299917,0.299917,36690,0.3170364993778515,True,,"{""base"": {""free"": 4254, ""spin"": 1000000, ""ways"": [299917, 6349502500]}, ""bet"": 10000000000, ""free"": {""free"": 568, ""spin"": 115728, ""ways"": [36690, 3178499500]}, ""free_times"": 115728, ""gt_1000x"": 0, ""gt_100x"": 1101, ""gt_10x"": 14925, ""gt_20x"": 7187, ""gt_50x"": 2999, ""gt_5x"": 31757, ""hit"": 302834, ""wins"": 9528002000}",1,,,,,,,,,,,,
0,1,2,1000000,10000000000,0.9864233,0.9864233,0.6220318,0.6220318,0.3643915,0.3643915,9864233000,9864233000,6220318000,3643915000,299865,0.299865,31671,15051,7271,2937,1276,0,5020,0.00502,63972,63972,311,12.743426294820717,72.58794820717132,296379,0.296379,20266,0.31679484774588884,True,,"{""base"": {""free"": 5020, ""spin"": 1000000, ""ways"": [296379, 6220318000]}, ""bet"": 10000000000, ""free"": {""free"": 311, ""spin"": 63972, ""ways"": [20266, 3643915000]}, ""free_times"": 63972, ""gt_1000x"": 0, ""gt_100x"": 1276, ""gt_10x"": 15051, ""gt_20x"": 7271, ""gt_50x"": 2937, ""gt_5x"": 31671, ""hit"": 299865, ""wins"": 9864233000}",2,,,,,,,,,,,,
0,1,1,1000000,10000000000,1.0151200999999999,1.0151201,0.6175525,0.6175525,0.3975676,0.3975676,10151201000,10151201000,6175525000,3975676000,299784,0.299784,31740,15474,7934,3555,1423,0,5094,0.005094,136776,136776,605,26.850412249705535,78.04625049077346,296259,0.296259,42868,0.313417558636018,True,,"{""base"": {""free"": 5094, ""spin"": 1000000, ""ways"": [296259, 6175525000]}, ""bet"": 10000000000, ""free"": {""free"": 605, ""spin"": 136776, ""ways"": [42868, 3975676000]}, ""free_times"": 136776, ""gt_1000x"": 0, ""gt_100x"": 1423, ""gt_10x"": 15474, ""gt_20x"": 7934, ""gt_50x"": 3555, ""gt_5x"": 31740, ""hit"": 299784, ""wins"": 10151201000}",1,,,,,,,,,,,,
0,1,3,1000000,10000000000,0.9832015000000001,0.9832015,0.62528755,0.62528755,0.35791395,0.35791395,9832015000,9832015000,6252875500,3579139500,300219,0.300219,31676,14846,6766,2645,1268,0,4969,0.004969,41256,41256,188,8.302676594888307,72.0293721070638,296910,0.29691,13000,0.3151056815978282,True,,"{""base"": {""free"": 4969, ""spin"": 1000000, ""ways"": [296910, 6252875500]}, ""bet"": 10000000000, ""free"": {""free"": 188, ""spin"": 41256, ""ways"": [13000, 3579139500]}, ""free_times"": 41256, ""gt_1000x"": 0, ""gt_100x"": 1268, ""gt_10x"": 14846, ""gt_20x"": 6766, ""gt_50x"": 2645, ""gt_5x"": 31676, ""hit"": 300219, ""wins"": 9832015000}",3,,,,,,,,,,,,
0,1,3,1000000,10000000000,0.972952,0.972952,0.6200887,0.6200887,0.3528633,0.3528633,9729520000,9729520000,6200887000,3528633000,300163,0.300163,31352,14826,6856,2630,1206,1,5034,0.005034,41920,41920,206,8.327373857767183,70.09600715137069,296812,0.296812,13245,0.31595896946564883,True,,"{""base"": {""free"": 5034, ""spin"": 1000000, ""ways"": [296812, 6200887000]}, ""bet"": 10000000000, ""free"": {""free"": 206, ""spin"": 41920, ""ways"": [13245, 3528633000]}, ""free_times"": 41920, ""gt_1000x"": 1, ""gt_100x"": 1206, ""gt_10x"": 14826, ""gt_20x"": 6856, ""gt_50x"": 2630, ""gt_5x"": 31352, ""hit"": 300163, ""wins"": 9729520000}",3,,,,,,,,,,,,
0,1,3,1000000,10000000000,0.9894112,0.9894112,0.62322085,0.62322085,0.36619035,0.36619035,9894112000,9894112000,6232208500,3661903500,300086,0.300086,31691,14999,6913,2620,1244,1,5079,0.005079,42560,42560,241,8.379602283914156,72.09890726520969,296740,0.29674,13496,0.3171052631578947,True,,"{""base"": {""free"": 5079, ""spin"": 1000000, ""ways"": [296740, 6232208500]}, ""bet"": 10000000000, ""free"": {""free"": 241, ""spin"": 42560, ""ways"": [13496, 3661903500]}, ""free_times"": 42560, ""gt_1000x"": 1, ""gt_100x"": 1244, ""gt_10x"": 14999, ""gt_20x"": 6913, ""gt_50x"": 2620, ""gt_5x"": 31691, ""hit"": 300086, ""wins"": 9894112000}",3,,,,,,,,,,,,
0,1,2,1000000,10000000000,0.9914206000000001,0.9914206,0.6215772,0.6215772,0.3698434,0.3698434,9914206000,9914206000,6215772000,3698434000,300339,0.300339,31533,15205,7340,2941,1307,0,4999,0.004999,63792,63792,317,12.760952190438088,73.98347669533906,296861,0.296861,20362,0.31919362929520945,True,,"{""base"": {""free"": 4999, ""spin"": 1000000, ""ways"": [296861, 6215772000]}, ""bet"": 10000000000, ""free"": {""free"": 317, ""spin"": 63792, ""ways"": [20362, 3698434000]}, ""free_times"": 63792, ""gt_1000x"": 0, ""gt_100x"": 1307, ""gt_10x"": 15205, ""gt_20x"": 7340, ""gt_50x"": 2941, ""gt_5x"": 31533, ""hit"": 300339, ""wins"": 9914206000}",2,,,,,,,,,,,,
0,1,3,1000000,10000000000,0.9757355999999999,0.9757356,0.6188094,0.6188094,0.3569262,0.3569262,9757356000,9757356000,6188094000,3569262000,299845,0.299845,31692,14858,6700,2651,1233,0,5009,0.005009,41624,41624,194,8.309842283889,71.2569774406069,296598,0.296598,13293,0.3193590236402076,True,,"{""base"": {""free"": 5009, ""spin"": 1000000, ""ways"": [296598, 6188094000]}, ""bet"": 10000000000, ""free"": {""free"": 194, ""spin"": 41624, ""ways"": [13293, 3569262000]}, ""free_times"": 41624, ""gt_1000x"": 0, ""gt_100x"": 1233, ""gt_10x"": 14858, ""gt_20x"": 6700, ""gt_50x"": 2651, ""gt_5x"": 31692, ""hit"": 299845, ""wins"": 9757356000}",3,,,,,,,,,,,,
0,1,4,1000000,10000000000,0.98183515,0.98183515,0.61822095,0.61822095,0.3636142,0.3636142,9818351500,9818351500,6182209500,3636142000,300407,0.300407,31156,14485,6476,2449,1196,2,5071,0.005071,31398,31398,162,6.191678169986196,71.70463419443897,297238,0.297238,9772,0.3112300146506147,True,,"{""base"": {""free"": 5071, ""spin"": 1000000, ""ways"": [297238, 6182209500]}, ""bet"": 10000000000, ""free"": {""free"": 162, ""spin"": 31398, ""ways"": [9772, 3636142000]}, ""free_times"": 31398, ""gt_1000x"": 2, ""gt_100x"": 1196, ""gt_10x"": 14485, ""gt_20x"": 6476, ""gt_50x"": 2449, ""gt_5x"": 31156, ""hit"": 300407, ""wins"": 9818351500}",4,,,,,,,,,,,,
0,1,5,1000000,10000000000,1.0189922,1.0189922,0.6157675,0.6157675,0.4032247,0.4032247,10189922000,10189922000,6157675000,4032247000,299197,0.299197,31051,14468,6439,2548,1302,4,4981,0.004981,58090,58090,281,11.662316803854647,80.95255972696246,295928,0.295928,18427,0.31721466689619554,True,,"{""base"": {""free"": 4981, ""spin"": 1000000, ""ways"": [295928, 6157675000]}, ""bet"": 10000000000, ""free"": {""free"": 281, ""spin"": 58090, ""ways"": [18427, 4032247000]}, ""free_times"": 58090, ""gt_1000x"": 4, ""gt_100x"": 1302, ""gt_10x"": 14468, ""gt_20x"": 6439, ""gt_50x"": 2548, ""gt_5x"": 31051, ""hit"": 299197, ""wins"": 10189922000}",5,,,,,,,,,,,,
